Baisley Park,Queens,29.360455779130838
Flushing Meadows-Corona Park,Queens,27.304845733617668
South Jamaica,Queens,26.294916239873473
Randalls Island,Manhattan,24.150989940227525
Astoria Park,Queens,21.706417112147538
Briarwood/Jamaica Hills,Queens,19.945064631789336
Springfield Gardens South,Queens,19.468309288781903
Jamaica,Queens,19.2839430001379
Corona,Queens,18.228769248155974
LaGuardia Airport,Queens,18.181338808373
Jamaica Bay,Queens,17.100529446757896
Maspeth,Queens,17.005450640079545
Eltingville/Annadale/Prince's Bay,Staten Island,16.837764756944445
JFK Airport,Queens,16.777725348249636
Battery Park,Manhattan,12.84978031114288
Morningside Heights,Manhattan,12.45369802658408
Battery Park City,Manhattan,12.448848404428603
Greenwich Village North,Manhattan,12.446949891694038
Rikers Island,Bronx,12.3063
World Trade Center,Manhattan,12.295411924133376
